CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster,Cluster_Name
12347,2,7,4310.0,5,4,5,545,Champions,0,Regular Customers
12348,75,4,1797.24,2,3,4,234,At Risk,0,Regular Customers
12349,19,1,1757.55,4,1,4,414,New Customers,0,Regular Customers
12350,310,1,334.4,1,1,2,112,Lost Customers,1,Lost Customers
12352,36,11,1545.41,3,5,4,354,Loyal Customers,0,Regular Customers
12353,204,1,89.0,1,1,1,111,Lost Customers,1,Lost Customers
12354,232,1,1079.4,1,1,4,114,Lost Customers,1,Lost Customers
12355,214,1,459.4,1,1,2,112,Lost Customers,1,Lost Customers
12356,23,3,2811.43,4,3,5,435,Loyal Customers,0,Regular Customers
12357,33,1,6207.67,3,1,5,315,Potential Loyalists,0,Regular Customers
12358,2,2,1168.06,5,2,4,524,New Customers,0,Regular Customers
12359,8,6,6245.53,5,4,5,545,Champions,0,Regular Customers
12360,52,3,2662.06,3,3,5,335,Loyal Customers,0,Regular Customers
12361,287,1,189.9,1,1,1,111,Lost Customers,1,Lost Customers
12362,3,13,5154.58,5,5,5,555,Champions,0,Regular Customers
12363,110,2,552.0,2,2,3,223,Lost Customers,0,Regular Customers
12364,8,4,1313.1,5,3,4,534,Loyal Customers,0,Regular Customers
12365,291,3,320.69,1,3,2,132,At Risk,1,Lost Customers
12367,4,1,168.9,5,1,1,511,New Customers,0,Regular Customers
12370,51,4,3545.69,3,3,5,335,Loyal Customers,0,Regular Customers
12371,45,2,1887.96,3,2,4,324,Potential Loyalists,0,Regular Customers
12372,72,3,1298.04,2,3,4,234,At Risk,0,Regular Customers
12373,311,1,364.6,1,1,2,112,Lost Customers,1,Lost Customers
12374,25,1,742.9300000000001,4,1,3,413,New Customers,0,Regular Customers
12375,3,3,455.42,5,3,2,532,Potential Loyalists,0,Regular Customers
12377,315,2,1628.12,1,2,4,124,Lost Customers,1,Lost Customers
12378,130,1,4008.62,2,1,5,215,Lost Customers,0,Regular Customers
12379,82,3,850.29,2,3,3,233,At Risk,0,Regular Customers
12380,22,5,2720.56,4,4,5,445,Champions,0,Regular Customers
12381,5,6,1803.96,5,4,4,544,Champions,0,Regular Customers
12383,185,6,1839.31,1,4,4,144,At Risk,1,Lost Customers
12384,29,3,566.16,4,3,3,433,Loyal Customers,0,Regular Customers
12386,338,2,401.9,1,2,2,122,Lost Customers,1,Lost Customers
12388,16,6,2780.66,4,4,5,445,Champions,0,Regular Customers
12390,80,1,549.84,2,1,3,213,Lost Customers,0,Regular Customers
12391,22,1,460.89,4,1,2,412,New Customers,0,Regular Customers
12393,72,4,1582.6,2,3,4,234,At Risk,0,Regular Customers
12394,64,2,1272.48,3,2,4,324,Potential Loyalists,0,Regular Customers
12395,16,15,2998.28,4,5,5,455,Champions,0,Regular Customers
12397,36,2,2409.9,3,2,5,325,Potential Loyalists,0,Regular Customers
12398,46,1,1635.66,3,1,4,314,Potential Loyalists,0,Regular Customers
12399,119,4,1108.65,2,3,4,234,At Risk,0,Regular Customers
12401,303,1,84.3,1,1,1,111,Lost Customers,1,Lost Customers
12402,323,1,225.6,1,1,1,111,Lost Customers,1,Lost Customers
12403,50,2,409.7,3,2,2,322,Potential Loyalists,0,Regular Customers
12405,149,1,1710.39,2,1,4,214,Lost Customers,1,Lost Customers
12406,22,3,3280.75,4,3,5,435,Loyal Customers,0,Regular Customers
12407,50,5,1708.12,3,4,4,344,Loyal Customers,0,Regular Customers
12408,33,9,2842.57,3,5,5,355,Loyal Customers,0,Regular Customers
12409,79,7,11056.93,2,4,5,245,At Risk,0,Regular Customers
12410,301,3,681.0799999999999,1,3,3,133,At Risk,1,Lost Customers
12412,75,3,1226.88,2,3,4,234,At Risk,0,Regular Customers
12413,67,5,694.15,3,4,3,343,Loyal Customers,0,Regular Customers
12414,217,3,562.41,1,3,3,133,At Risk,1,Lost Customers
12415,24,26,123725.45,4,5,5,455,Champions,2,VIP Champions
12417,3,12,3578.8,5,5,5,555,Champions,0,Regular Customers
